Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
High/Broad Nasal Bridge,Foot Deformities,0.224790468,-0.914822532,1.364403469,1,ns
Cleft Lip/Palate,Tracheomalacia/Laryngomalacia,0.225366711,-1.818182399,2.26891582,1,ns
Long/Prominent Philtrum,Astigmatism,0.225366711,-1.818182399,2.26891582,1,ns
Long/Prominent Philtrum,Café-au-lait Spots,0.225366711,-1.818182399,2.26891582,1,ns
Ptosis,Urinary Tract Infection,0.225631798,-1.833965647,2.285229244,1,ns
Corpus Callosum Hypoplasia/Agenesis,Ventricular Septal Defect,0.230159025,-1.031632525,1.491950574,1,ns
Tubular or Pear-Shaped Nose,Enlarged Ventricles,0.230553742,-0.692505343,1.153612827,1,ns
Large/Prominent Ears,Abnormal Hair Color/Texture,0.231524589,-0.593542864,1.056592042,1,ns
High/Broad Nasal Bridge,Slender/Long Fingers,0.2331052,-1.014715628,1.480926028,1,ns
Hypodontia,Tracheomalacia/Laryngomalacia,0.23386603,-1.092024293,1.559756354,1,ns
Low Birth Weight,Myopia,0.234996861,-2.271137196,2.741130919,1,ns
Low Birth Weight,Pigmentation Abnormalities,0.234996861,-2.271137196,2.741130919,1,ns
Dolichocephaly,Pale Irides,0.23530574,-3.976339412,4.446950892,1,ns
Dolichocephaly,Widely Spaced Nipples,0.23530574,-3.976339412,4.446950892,1,ns
Failure to Thrive in Infancy,Macrocephaly,0.236067358,-2.276242111,2.748376828,1,ns
Failure to Thrive in Infancy,Vesicoureteral Reflux,0.236067358,-2.276242111,2.748376828,1,ns
Failure to Thrive in Infancy,Multiple Nevi,0.236067358,-2.276242111,2.748376828,1,ns
Macrocephaly,Small Teeth,0.236067358,-2.276242111,2.748376828,1,ns
Bulbous Nasal Tip,Anxiety,0.236067358,-0.834963499,1.307098215,1,ns
Small Teeth,Constipation,0.236067358,-2.276242111,2.748376828,1,ns
Hypopigmentation,Constipation,0.236067358,-2.276242111,2.748376828,1,ns
Speech Developmental Delay,Friendly/Amiable Affect,0.236978673,-0.496191552,0.970148897,0.989163186,ns
Enlarged Ventricles,Hip Dislocation/Dysplasia,0.237679533,-0.900181441,1.375540507,1,ns
Atrial Septal Defect,Bilateral Kidneys,0.237896159,-2.460202061,2.935994379,1,ns
Seizures,Nasal Speech,0.238769668,-1.141954651,1.619493986,1,ns
Hypodontia,Developmental Delay/Intellectual Disability,0.238911159,-2.261299219,2.739121536,1,ns
Open Mouth,Broad Chin,0.239338313,-2.291774993,2.77045162,1,ns
Broad Chin,Urinary Tract Infection,0.239338313,-2.291774993,2.77045162,1,ns
Enlarged Ventricles,Strabismus,0.240435107,-0.704890812,1.185761026,1,ns
Friendly/Amiable Affect,Pyelectasis,0.241928773,-1.365151824,1.849009369,1,ns
Friendly/Amiable Affect,Hypopigmentation,0.243791435,-1.25808325,1.74566612,1,ns
Low-Set Ears,Enlarged Ventricles,0.244835802,-0.814880286,1.30455189,1,ns
Micrognathia,Atrial Septal Defect,0.245504481,-1.55009305,2.041102013,1,ns
Friendly/Amiable Affect,Widely Spaced Nipples,0.245683071,-1.170560615,1.661926757,1,ns
Thin Upper Lip,Constipation,0.246160587,-1.743919876,2.23624105,1,ns
Enlarged Ventricles,Abnormal Hair Color/Texture,0.248134622,-0.683402607,1.17967185,1,ns
Feeding Difficulties,Corpus Callosum Hypoplasia/Agenesis,0.248376583,-0.60037035,1.097123515,0.996206991,ns
Macroglossia,Widely Spaced Teeth,0.249245817,-2.258703075,2.757194709,1,ns
Macroglossia,Widely Spaced Nipples,0.249245817,-2.258703075,2.757194709,1,ns
Atrial Septal Defect,Pigmentation Abnormalities,0.249494565,-1.347478126,1.846467257,1,ns
High/Broad Nasal Bridge,Patent Foramen Ovale,0.249679025,-1.781853861,2.28121191,1,ns
High/Broad Nasal Bridge,Hypoplasia Hand Muscles,0.249679025,-1.781853861,2.28121191,1,ns
High/Broad Nasal Bridge,Inguinal Hernia,0.249679025,-1.781853861,2.28121191,1,ns
Slender/Long Fingers,Inguinal Hernia,0.249679025,-1.781853861,2.28121191,1,ns
Myopia,Hip Dislocation/Dysplasia,0.251264269,-1.497172685,1.999701222,1,ns
Hip Dislocation/Dysplasia,Nasal Speech,0.251264269,-1.497172685,1.999701222,1,ns
Scoliosis/Kyphosis,Hydronephrosis,0.251784363,-1.039378063,1.542946789,1,ns
Narrow/High Palate,Seizures,0.252737392,-0.747719149,1.253193933,1,ns
Epicanthal Folds,Strabismus,0.253299333,-0.551492052,1.058090719,0.995216275,ns
Age,Thin Upper Lip,0.253589336,-0.995578131,1.502756803,1,ns
Intrauterine Growth Restriction,Speech Developmental Delay,0.254686143,-1.027448877,1.536821163,1,ns
Short Stature,Macrocephaly,0.257157839,-1.464656776,1.978972455,1,ns
Intrauterine Growth Restriction,Atrial Septal Defect,0.257877972,-1.094073325,1.609829268,1,ns
High/Broad Forehead,Tubular or Pear-Shaped Nose,0.258317679,-0.734788808,1.251424166,1,ns
Drooling,Corpus Callosum Hypoplasia/Agenesis,0.25880982,-0.716112362,1.233732002,1,ns
Cleft Lip/Palate,Pulmonary Valve Stenosis,0.260202815,-3.935430103,4.455835733,1,ns
Nystagmus,Pulmonary Valve Stenosis,0.260202815,-3.935430103,4.455835733,1,ns
Open Mouth,Scoliosis/Kyphosis,0.261461986,-1.578195199,2.101119171,1,ns
Large/Prominent Ears,Urinary Tract Infection,0.261461986,-1.578195199,2.101119171,1,ns
Age,ADHD,0.261673431,-0.925999852,1.449346714,1,ns
Enlarged Ventricles,Urinary Tract Infection,0.262368188,-1.798030082,2.322766458,1,ns
Upward Slanting Palpebral Fissures,Dry Skin/Hyperkeratosis/Eczema,0.263558165,-0.989274261,1.516390591,1,ns
Short Stature,Widely Spaced Teeth,0.264946527,-1.742806976,2.27270003,1,ns
Long/Prominent Philtrum,Dry Skin/Hyperkeratosis/Eczema,0.268757123,-1.291745099,1.829259344,1,ns
Tracheomalacia/Laryngomalacia,Dry Skin/Hyperkeratosis/Eczema,0.268757123,-1.291745099,1.829259344,1,ns
Hyperopia,Bilateral Kidneys,0.269186633,-2.429303973,2.967677239,1,ns
Language Disorder,Ventricular Septal Defect,0.269263913,-0.842724584,1.381252411,1,ns
Micrognathia,Joint Hyperlaxity,0.269896868,-1.320305026,1.860098762,1,ns
Intrauterine Growth Restriction,Ptosis,0.270042007,-1.16475716,1.704841174,1,ns
Abnormal EEG,Atrial Septal Defect,0.271568792,-0.877494559,1.420632143,1,ns
Low-Set Ears,Developmental Delay/Intellectual Disability,0.27285066,-1.746764716,2.292466036,1,ns
Hydrocephalus,Hyperopia,0.273451022,-1.834112984,2.381015028,1,ns
Low-Set Ears,Slender Lower Limbs,0.273655522,-1.31369292,1.861003963,1,ns
Ventricular Septal Defect,Hydronephrosis,0.2737747,-1.445681959,1.993231359,1,ns
Dolichocephaly,Ptosis,0.274251392,-2.368145724,2.916648507,1,ns
Large/Prominent Ears,Strabismus,0.274790823,-0.560622522,1.110204168,0.99316646,ns
Bulbous Nasal Tip,Ventricular Septal Defect,0.274857442,-0.884219027,1.433933911,1,ns
Micrognathia,Hyperopia,0.277853121,-1.518376659,2.0740829,1,ns
Epicanthal Folds,Cryptorchidism,0.281963264,-0.591402479,1.155329007,0.994621131,ns
Foot Deformities,Sacral Dimple,0.282399731,-1.162245761,1.727045222,1,ns
ADHD,Tracheomalacia/Laryngomalacia,0.282537062,-1.145936903,1.711011028,1,ns
ADHD,Hip Dislocation/Dysplasia,0.282537062,-1.145936903,1.711011028,1,ns
Hypertelorism,Widely Spaced Nipples,0.282765039,-1.475067062,2.04059714,1,ns
Seizures,Hypoplasia Hand Muscles,0.283559803,-1.271556372,1.838675979,1,ns
Thin Upper Lip,Inguinal Hernia,0.284362915,-2.234358835,2.803084666,1,ns
Corpus Callosum Hypoplasia/Agenesis,Abnormal Hair Color/Texture,0.285537394,-0.594714639,1.165789426,0.99316646,ns
Corpus Callosum Hypoplasia/Agenesis,Hypotonia,0.285791052,-0.750214113,1.321796218,0.993649849,ns
Speech Developmental Delay,Hip Dislocation/Dysplasia,0.287511582,-0.706950593,1.281973758,0.99316646,ns
Epicanthal Folds,Bulbous Nasal Tip,0.287931278,-0.517702119,1.093564676,0.951783244,ns
Short Stature,Developmental Delay/Intellectual Disability,0.288932524,-2.209839254,2.787704303,1,ns
Low Birth Weight,Motor Developmental Delay,0.289449256,-1.037661834,1.616560345,1,ns
Foot Deformities,Abnormal Hair Color/Texture,0.290288449,-0.60661289,1.187189787,0.993649849,ns
Hypotonia,Cryptorchidism,0.290565088,-0.713641232,1.294771407,0.99316646,ns
Hyperopia,Hydronephrosis,0.291956015,-1.060932171,1.644844201,1,ns
High/Broad Forehead,Inguinal Hernia,0.292246917,-1.740475833,2.324969666,1,ns
Bulbous Nasal Tip,Urinary Tract Infection,0.292386249,-1.540943875,2.125716373,1,ns
Seizures,Pectus Excavatum,0.292795437,-0.819751264,1.405342138,1,ns
Feeding Difficulties,Strabismus,0.293379353,-0.45986771,1.046626416,0.932614208,ns
Motor Developmental Delay,Bicuspid Aortic Valve,0.293718743,-1.331654727,1.919092213,1,ns
Motor Developmental Delay,Pyelectasis,0.293718743,-1.331654727,1.919092213,1,ns
Slender Lower Limbs,Strabismus,0.295050713,-1.125724476,1.715825901,1,ns
Tubular or Pear-Shaped Nose,Large/Prominent Ears,0.295363913,-0.518184367,1.108912193,0.947095708,ns
Hearing Impairment,Atrial Septal Defect,0.296315794,-0.591666615,1.184298204,0.99316646,ns
Nystagmus,Hypotonia,0.296322107,-1.736777171,2.329421385,1,ns
Bicuspid Aortic Valve,Hypotonia,0.296322107,-1.736777171,2.329421385,1,ns
Speech Developmental Delay,Dry Skin/Hyperkeratosis/Eczema,0.296648686,-1.066630077,1.65992745,1,ns
Hearing Impairment,Dry Skin/Hyperkeratosis/Eczema,0.296648686,-1.021624915,1.614922288,1,ns
Small Teeth,Language Disorder,0.299475027,-1.261372782,1.860322836,1,ns
Language Disorder,Hypopigmentation,0.299475027,-1.261372782,1.860322836,1,ns
Hypertelorism,Narrow Hands,0.299713361,-1.761522016,2.360948738,1,ns
Hypertelorism,Urinary Tract Infection,0.299713361,-1.761522016,2.360948738,1,ns
Large/Prominent Ears,Joint Hyperlaxity,0.301624186,-0.503747706,1.106996079,0.958301368,ns
Everted Lower Lip,Cleft Lip/Palate,0.302342269,-1.513647689,2.118332228,1,ns
Everted Lower Lip,Astigmatism,0.302342269,-1.513647689,2.118332228,1,ns
Everted Lower Lip,Pyelectasis,0.302342269,-1.513647689,2.118332228,1,ns
Strabismus,Otitis Media,0.302742444,-1.234224367,1.839709255,1,ns
Widely Spaced Teeth,Cryptorchidism,0.303162519,-1.307136801,1.913461838,1,ns
Drooling,Atrial Septal Defect,0.30384764,-0.650612399,1.25830768,1,ns
Abnormal EEG,Tracheomalacia/Laryngomalacia,0.305367707,-0.948014888,1.558750302,1,ns
Thin Upper Lip,Drooling,0.307595283,-1.051556363,1.66674693,1,ns
Failure to Thrive in Infancy,Dry Skin/Hyperkeratosis/Eczema,0.30769209,-2.207876961,2.82326114,1,ns
Enlarged Ventricles,Hydronephrosis,0.309140767,-1.126967659,1.745249193,1,ns
Open Mouth,Developmental Delay/Intellectual Disability,0.309782665,-3.850873512,4.470438842,1,ns
Narrow Hands,Developmental Delay/Intellectual Disability,0.309782665,-3.850873512,4.470438842,1,ns
Narrow/Short Palpebral Fissures,Dry Skin/Hyperkeratosis/Eczema,0.309946058,-1.251950542,1.871842657,1,ns
Narrow/Short Palpebral Fissures,Abnormal Hair Color/Texture,0.310218763,-0.647858782,1.268296308,0.995216275,ns
Hypodontia,Sacral Dimple,0.310228468,-1.413953744,2.034410681,1,ns
Everted Lower Lip,ADHD,0.310360211,-0.970036271,1.590756692,1,ns
Friendly/Amiable Affect,Scoliosis/Kyphosis,0.310848649,-0.469087241,1.090784539,0.928724962,ns
ADHD,Foot Deformities,0.314507057,-1.02972465,1.658738765,1,ns
Tracheomalacia/Laryngomalacia,Joint Hyperlaxity,0.315562279,-0.615965473,1.247090031,0.989810434,ns
Upward Slanting Palpebral Fissures,Pyelectasis,0.315898116,-1.31204703,1.943843262,1,ns
Macrocephaly,Multiple Nevi,0.318021526,-1.676169503,2.312212555,1,ns
Macrocephaly,Sacral Dimple,0.318021526,-1.676169503,2.312212555,1,ns
Vesicoureteral Reflux,Sacral Dimple,0.318021526,-1.676169503,2.312212555,1,ns
Multiple Nevi,Sacral Dimple,0.318021526,-1.676169503,2.312212555,1,ns
Motor Developmental Delay,Foot Deformities,0.318196904,-0.541448827,1.177842635,0.945347863,ns
Short Stature,Broad Chin,0.318306381,-1.227546854,1.864159616,1,ns
Upward Slanting Palpebral Fissures,Narrow/High Palate,0.319894427,-0.695936366,1.335725221,0.995519786,ns
Tubular or Pear-Shaped Nose,Slender/Long Fingers,0.319936797,-0.668217821,1.308091415,0.979417118,ns
Ventricular Septal Defect,Pigmentation Abnormalities,0.32113909,-1.683906594,2.326184774,1,ns
Thin Upper Lip,Dry Skin/Hyperkeratosis/Eczema,0.321145934,-1.673449368,2.315741237,1,ns
Slender Lower Limbs,Myopia,0.321178448,-2.189850526,2.832207422,1,ns
Age,Corpus Callosum Hypoplasia/Agenesis,0.321567826,-0.557204829,1.200340482,0.943149491,ns
High/Broad Forehead,Thin Upper Lip,0.321646566,-1.23320132,1.876494452,1,ns
Ventricular Septal Defect,Scoliosis/Kyphosis,0.325312566,-0.845522795,1.496147926,1,ns
Corpus Callosum Hypoplasia/Agenesis,Speech Developmental Delay,0.325679059,-0.592200729,1.243558847,0.94606781,ns
Large/Prominent Ears,Hypopigmentation,0.325951488,-1.317122445,1.969025421,1,ns
Macrocephaly,Everted Lower Lip,0.329292995,-1.037158548,1.695744538,1,ns
Everted Lower Lip,Vesicoureteral Reflux,0.329292995,-1.037158548,1.695744538,1,ns
Microcephaly,Micrognathia,0.329743748,-3.87517923,4.534666727,1,ns
Microcephaly,Patent Foramen Ovale,0.329743748,-3.87517923,4.534666727,1,ns
Craniosynostosis,Patent Foramen Ovale,0.329743748,-3.87517923,4.534666727,1,ns
Craniosynostosis,Hypoplasia Hand Muscles,0.329743748,-3.87517923,4.534666727,1,ns
Craniosynostosis,Inguinal Hernia,0.329743748,-3.87517923,4.534666727,1,ns
Microcephaly,Slender/Long Fingers,0.332850591,-2.27264684,2.938348022,1,ns
Craniosynostosis,High/Broad Nasal Bridge,0.332850591,-2.27264684,2.938348022,1,ns
Craniosynostosis,Slender/Long Fingers,0.332850591,-2.27264684,2.938348022,1,ns
Corpus Callosum Hypoplasia/Agenesis,Bilateral Kidneys,0.332950796,-2.366370533,3.032272126,1,ns
Upward Slanting Palpebral Fissures,Ventricular Septal Defect,0.333081387,-0.746537204,1.412699978,1,ns
Cleft Lip/Palate,Cryptorchidism,0.33349463,-1.483053389,2.150042648,1,ns
High/Broad Nasal Bridge,Corpus Callosum Hypoplasia/Agenesis,0.335369378,-0.768697686,1.439436442,1,ns
Craniosynostosis,Hypotonia,0.337372928,-2.257109966,2.931855823,1,ns
Seizures,Anxiety,0.337432431,-0.653282427,1.328147289,0.978331878,ns
Corpus Callosum Hypoplasia/Agenesis,Hydrocephalus,0.338298056,-1.77036805,2.446964162,1,ns
Hearing Impairment,Hypotonia,0.340027511,-0.591023348,1.271078369,0.937179476,ns
Seizures,Hypotonia,0.340647973,-0.47909288,1.160388825,0.914919152,ns
Thin Upper Lip,Atrial Septal Defect,0.34118753,-1.018859717,1.701234777,1,ns
Micrognathia,Corpus Callosum Hypoplasia/Agenesis,0.343820701,-1.453749806,2.141391208,1,ns
Corpus Callosum Hypoplasia/Agenesis,Patent Foramen Ovale,0.343820701,-1.453749806,2.141391208,1,ns
Corpus Callosum Hypoplasia/Agenesis,Hypoplasia Hand Muscles,0.343820701,-1.453749806,2.141391208,1,ns
Intrauterine Growth Restriction,Pyelectasis,0.344536157,-2.182457021,2.871529334,1,ns
Nystagmus,Hydronephrosis,0.344536157,-2.182457021,2.871529334,1,ns
Bicuspid Aortic Valve,Hydronephrosis,0.344536157,-2.182457021,2.871529334,1,ns
Sparse Eyebrows,Hypopigmentation,0.345308409,-1.679208638,2.369825455,1,ns
Small Teeth,Anxiety,0.345308409,-1.679208638,2.369825455,1,ns
Abnormal EEG,Hypopigmentation,0.345308409,-1.679208638,2.369825455,1,ns
High/Broad Forehead,Scoliosis/Kyphosis,0.346175641,-0.699265298,1.39161658,0.995519786,ns
Upward Slanting Palpebral Fissures,Developmental Delay/Intellectual Disability,0.346907506,-1.310977523,2.004792535,1,ns
Age,Ventricular Septal Defect,0.347222115,-0.780627696,1.475071927,0.987782319,ns
Corpus Callosum Hypoplasia/Agenesis,Myopia,0.349527546,-1.249745809,1.948800901,1,ns
Corpus Callosum Hypoplasia/Agenesis,Pigmentation Abnormalities,0.349527546,-1.249745809,1.948800901,1,ns
Language Disorder,Urinary Tract Infection,0.349995003,-1.376885418,2.076875425,1,ns
Macroglossia,Otitis Media,0.351472371,-2.163531643,2.866476384,1,ns
Macrocephaly,Micrognathia,0.35313506,-2.168559079,2.874829199,1,ns
Macrocephaly,Inguinal Hernia,0.35313506,-2.168559079,2.874829199,1,ns
Micrognathia,Vesicoureteral Reflux,0.35313506,-2.168559079,2.874829199,1,ns
Micrognathia,Constipation,0.35313506,-2.168559079,2.874829199,1,ns
Patent Foramen Ovale,Multiple Nevi,0.35313506,-2.168559079,2.874829199,1,ns
Hypoplasia Hand Muscles,Sacral Dimple,0.35313506,-2.168559079,2.874829199,1,ns
Vesicoureteral Reflux,Inguinal Hernia,0.35313506,-2.168559079,2.874829199,1,ns
Multiple Nevi,Inguinal Hernia,0.35313506,-2.168559079,2.874829199,1,ns
Short Stature,High/Broad Nasal Bridge,0.353682178,-0.976294094,1.68365845,1,ns
Short Stature,Slender/Long Fingers,0.353682178,-0.976294094,1.68365845,1,ns
High/Broad Nasal Bridge,Vesicoureteral Reflux,0.355828502,-1.203663631,1.915320634,1,ns
High/Broad Nasal Bridge,Constipation,0.355828502,-1.203663631,1.915320634,1,ns
Slender/Long Fingers,Sacral Dimple,0.355828502,-1.203663631,1.915320634,1,ns
Feeding Difficulties,Widely Spaced Nipples,0.35615581,-1.098763771,1.811075392,1,ns
Epicanthal Folds,Otitis Media,0.356186463,-1.181514764,1.89388769,1,ns
Open Mouth,ADHD,0.356508327,-2.178727863,2.891744516,1,ns
Narrow Hands,ADHD,0.356508327,-2.178727863,2.891744516,1,ns
Speech Developmental Delay,Language Disorder,0.3565768,-0.437236343,1.150389943,0.867718461,ns
Low Birth Weight,Everted Lower Lip,0.356794747,-1.120492693,1.834082187,1,ns
Ventricular Septal Defect,Tracheomalacia/Laryngomalacia,0.357049358,-0.977266776,1.691365491,1,ns
Pale Irides,Tracheomalacia/Laryngomalacia,0.361067983,-1.398962055,2.121098021,1,ns
Pale Irides,Hip Dislocation/Dysplasia,0.361067983,-1.398962055,2.121098021,1,ns
Widely Spaced Teeth,Hip Dislocation/Dysplasia,0.361067983,-1.398962055,2.121098021,1,ns
Tracheomalacia/Laryngomalacia,Widely Spaced Nipples,0.361067983,-1.398962055,2.121098021,1,ns
Narrow/Short Palpebral Fissures,Slender/Long Fingers,0.361144491,-0.833243608,1.555532591,1,ns
Intrauterine Growth Restriction,Corpus Callosum Hypoplasia/Agenesis,0.361532169,-0.993348082,1.716412421,1,ns
Macrocephaly,Cryptorchidism,0.362002536,-1.005272392,1.729277464,1,ns
Neonatal Jaundice,Seizures,0.363259375,-0.530197404,1.256716153,0.916412114,ns
Drooling,Pyelectasis,0.365019722,-1.452107603,2.182147047,1,ns
Drooling,Ventricular Septal Defect,0.365054191,-0.848351632,1.578460014,1,ns
Hydrocephalus,Seizures,0.36545547,-1.465102304,2.196013245,1,ns
Speech Developmental Delay,Anxiety,0.366250426,-0.731131418,1.46363227,0.958607169,ns
Narrow/High Palate,Hypodontia,0.366938104,-1.056491785,1.790367993,1,ns
Epicanthal Folds,Bicuspid Aortic Valve,0.368106138,-1.324499945,2.06071222,1,ns
Seizures,Friendly/Amiable Affect,0.369303993,-0.315131932,1.053739919,0.787163844,ns
Epicanthal Folds,Atrial Septal Defect,0.370301792,-0.507980436,1.248584021,0.918264855,ns
Age,Micrognathia,0.370331225,-1.287398513,2.028060962,1,ns
Developmental Delay/Intellectual Disability,Hyperopia,0.371166879,-1.646692639,2.389026397,1,ns
Low-Set Ears,Hydrocephalus,0.371367028,-1.737883219,2.480617275,1,ns
Long Face,Pigmentation Abnormalities,0.37334003,-1.007595992,1.754276052,1,ns
Craniosynostosis,High/Broad Forehead,0.374395515,-2.231984919,2.980775949,1,ns
Tubular or Pear-Shaped Nose,Anxiety,0.37507527,-0.671164687,1.421315227,0.943680222,ns
Open Mouth,Hip Dislocation/Dysplasia,0.37634428,-1.686683716,2.439372276,1,ns
Tracheomalacia/Laryngomalacia,Urinary Tract Infection,0.37634428,-1.686683716,2.439372276,1,ns
Hip Dislocation/Dysplasia,Urinary Tract Infection,0.37634428,-1.686683716,2.439372276,1,ns
Low-Set Ears,Inguinal Hernia,0.377474086,-1.420807646,2.175755818,1,ns
Seizures,Ventricular Septal Defect,0.37777865,-0.689738453,1.445295753,0.961631695,ns
Dolichocephaly,Strabismus,0.379506929,-1.882549861,2.641563718,1,ns
Large/Prominent Ears,Abnormal EEG,0.380604002,-0.703919372,1.465127376,0.99316646,ns
Upward Slanting Palpebral Fissures,Small Teeth,0.382463613,-1.13485851,1.899785737,1,ns
Tubular or Pear-Shaped Nose,Tracheomalacia/Laryngomalacia,0.382778079,-0.574482395,1.340038552,0.916289911,ns
Tubular or Pear-Shaped Nose,Hip Dislocation/Dysplasia,0.382778079,-0.574482395,1.340038552,0.916289911,ns
Low-Set Ears,Pigmentation Abnormalities,0.383786565,-1.216317101,1.983890232,1,ns
Language Disorder,Atrial Septal Defect,0.384103241,-0.474460781,1.242667263,0.901227499,ns
Short Stature,Cryptorchidism,0.38478197,-0.775959274,1.545523215,1,ns
Macrocephaly,Strabismus,0.385773225,-0.882655233,1.654201682,1,ns
Developmental Delay/Intellectual Disability,Strabismus,0.386092802,-1.400077009,2.172262614,1,ns
Speech Developmental Delay,Astigmatism,0.386749892,-1.420108447,2.193608231,1,ns
High/Broad Nasal Bridge,Pectus Excavatum,0.38683051,-1.043348767,1.817009787,1,ns
High/Broad Nasal Bridge,Cleft Lip/Palate,0.387422195,-1.660303696,2.435148086,1,ns
Ptosis,High/Broad Nasal Bridge,0.387999474,-0.758632566,1.534631513,1,ns
Low Birth Weight,Cryptorchidism,0.38895577,-1.089066987,1.866978527,1,ns
Myopia,Bilateral Kidneys,0.391424942,-3.843421245,4.626271129,1,ns
Bilateral Kidneys,Pigmentation Abnormalities,0.391424942,-3.843421245,4.626271129,1,ns
